town_id,town,region,is_mature_estate
1,ANG MO KIO,north-east,TRUE
2,BEDOK,east,TRUE
3,BISHAN,central,TRUE
4,BUKIT MERAH,central,TRUE
5,BUKIT TIMAH,central,TRUE
6,CENTRAL AREA,central,TRUE
7,CLEMENTI,west,TRUE
8,GEYLANG,central,TRUE
9,KALLANG/WHAMPOA,central,TRUE
10,MARINE PARADE,central,TRUE
11,PASIR RIS,east,TRUE
12,QUEENSTOWN,central,TRUE
13,SERANGOON,north-east,TRUE
14,TAMPINES,east,TRUE
15,TOA PAYOH,central,TRUE
16,BUKIT BATOK,west,FALSE
17,BUKIT PANJANG,west,FALSE
18,CHOA CHU KANG,west,FALSE
19,HOUGANG,north-east,FALSE
20,JURONG EAST,west,FALSE
21,JURONG WEST,west,FALSE
22,PUNGGOL,north-east,FALSE
23,SEMBAWANG,north,FALSE
24,SENGKANG,north-east,FALSE
25,TENGAH,west,FALSE
26,WOODLANDS,north,FALSE
27,YISHUN,north,FALSE
